Time,YawAngle,WindSpeed,BldPitch1,RotSpeed,RtTSR,RotTorq,GenPwr,RtAeroCp,RtAeroCt,RtAeroFxh,B1RootMxr,B1RootMyr,B1RootMzr,RtVAvgxh,RtVAvgyh,RtVAvgzh,RtSkew,YawBrMzp,TwrBsMyt,TwrBsMxt
0.0,-15,4,0.0,4.85,8.068,-6.852e-17,0.0,0.4885,0.8192,98100.0,200.3,278900.0,561.9,3.963,-0.04286,0.3461,5.03,-2.546e-17,-809.9,-0.132
0.108,-15,4,0.0,4.856,9.035,27.96,0.0,0.4377,0.8411,80530.0,69450.0,547600.0,-2959.0,3.543,-0.01238,0.3501,5.647,-49.2,1328.0,6.085
0.216,-15,4,0.0,4.853,9.69,14.76,0.0,0.4132,0.8596,71490.0,228500.0,810200.0,-1858.0,3.302,0.03315,0.3417,5.936,-51.92,1606.0,-56.6
0.324,-15,4,0.0,4.856,9.857,-24.93,0.0,0.4055,0.8596,69160.0,427200.0,1308000.0,-3948.0,3.247,0.07344,0.3434,6.173,-25.33,-582.3,-42.17
0.432,-15,4,0.0,4.864,9.636,31.17,0.0,0.4213,0.864,73050.0,757300.0,1759000.0,-4373.0,3.329,0.1009,0.3397,6.076,10.84,658.5,-35.65
0.54,-15,4,0.0,4.871,9.154,83.86,0.0,0.4411,0.8581,80650.0,1079000.0,2043000.0,-4439.0,3.51,0.1101,0.3292,5.648,59.55,2559.0,-395.5
0.648,-15,4,0.0,4.885,8.672,82.26,0.0,0.4686,0.8459,89010.0,1315000.0,2067000.0,-6592.0,3.713,0.09988,0.3188,5.141,66.65,2067.0,-399.1
0.756,-15,4,0.0,4.9,8.274,67.15,0.0,0.4899,0.8308,96730.0,1476000.0,2110000.0,-6213.0,3.906,0.08726,0.3096,4.708,53.62,4018.0,-86.77
0.864,-15,4,0.0,4.911,8.072,50.5,0.0,0.5109,0.8285,101900.0,1550000.0,2120000.0,-5399.0,4.014,0.08432,0.2993,4.429,52.0,7375.0,-199.7
0.972,-15,4,0.0,4.924,7.989,49.55,0.0,0.5192,0.8276,104400.0,1607000.0,1962000.0,-5186.0,4.065,0.09883,0.2887,4.293,75.35,8055.0,-152.8
1.08,-15,4,0.0,4.937,8.026,64.48,0.0,0.5176,0.8291,104100.0,1678000.0,1815000.0,-5659.0,4.057,0.1343,0.2896,4.499,11.76,9979.0,187.8
1.188,-15,4,0.0,4.949,8.149,74.08,0.0,0.5096,0.8316,101900.0,1846000.0,1708000.0,-5780.0,4.007,0.1746,0.2857,4.777,-0.6749,13630.0,119.6
1.296,-15,4,0.0,4.962,8.323,64.0,0.0,0.5007,0.8396,99010.0,2064000.0,1646000.0,-6792.0,3.931,0.21,0.2802,5.089,-3.586,14480.0,39.82
1.404,-15,4,0.0,4.97,8.485,30.29,0.0,0.4895,0.845,96160.0,2281000.0,1647000.0,-8892.0,3.862,0.2304,0.2806,5.371,9.774,14980.0,365.5
1.512,-15,4,0.0,4.977,8.616,4.985,0.0,0.4822,0.8495,94110.0,2527000.0,1725000.0,-9378.0,3.811,0.2342,0.2722,5.384,41.08,17260.0,399.9
1.62,-15,4,0.0,4.985,8.691,37.53,0.0,0.4786,0.8523,93090.0,2679000.0,1771000.0,-10320.0,3.783,0.2275,0.2602,5.22,36.84,17340.0,252.6
1.728,-15,4,0.0,4.993,8.694,70.81,0.0,0.4764,0.85,93020.0,2750000.0,1844000.0,-11680.0,3.787,0.2254,0.2461,5.036,26.2,16110.0,441.8
1.836,-15,4,0.0,5.004,8.666,58.61,0.0,0.48,0.8484,93920.0,2785000.0,1956000.0,-11080.0,3.809,0.2412,0.2251,4.95,19.09,16550.0,544.9
1.944,-15,4,0.0,5.017,8.607,55.44,0.0,0.4877,0.8474,95580.0,2799000.0,2020000.0,-10760.0,3.845,0.2734,0.1942,4.986,50.41,15760.0,494.2
2.052,-15,4,0.0,5.026,8.496,46.54,0.0,0.4935,0.8434,97930.0,2856000.0,2022000.0,-11490.0,3.901,0.3204,0.1592,5.24,54.33,13300.0,563.8
2.16,-15,4,0.0,5.036,8.378,30.26,0.0,0.4973,0.8381,100500.0,2982000.0,2014000.0,-12000.0,3.963,0.3633,0.1309,5.565,28.71,12490.0,635.3
2.268,-15,4,0.0,5.049,8.308,62.09,0.0,0.5026,0.8366,102500.0,3177000.0,1984000.0,-12550.0,4.008,0.3832,0.1056,5.664,36.19,11430.0,542.0
2.376,-15,4,0.0,5.061,8.268,90.15,0.0,0.505,0.8358,103900.0,3335000.0,1934000.0,-14060.0,4.037,0.3833,0.08723,5.562,25.4,8636.0,400.5
2.484,-15,4,0.0,5.074,8.26,65.52,0.0,0.5044,0.8349,104500.0,3434000.0,1895000.0,-14550.0,4.049,0.3677,0.07114,5.285,32.17,7181.0,467.5
2.592,-15,4,0.0,5.087,8.29,41.56,0.0,0.5039,0.8361,104400.0,3472000.0,1859000.0,-13740.0,4.046,0.3452,0.04922,4.926,33.97,6349.0,522.2
2.7,-15,4,0.0,5.097,8.331,44.11,0.0,0.5018,0.8381,104100.0,3407000.0,1822000.0,-13770.0,4.034,0.3301,0.02879,4.695,28.53,4023.0,379.5
2.808,-15,4,0.0,5.107,8.374,49.63,0.0,0.4979,0.8393,103500.0,3339000.0,1796000.0,-13390.0,4.02,0.3314,0.009336,4.715,27.91,2589.0,325.0
2.916,-15,4,0.0,5.119,8.437,61.58,0.0,0.4953,0.8419,102800.0,3304000.0,1779000.0,-12580.0,4.0,0.3446,-0.009162,4.925,26.07,2470.0,339.2
3.024,-15,4,0.0,5.131,8.504,72.58,0.0,0.4931,0.8447,102100.0,3298000.0,1761000.0,-13090.0,3.979,0.3602,-0.02575,5.186,36.63,1299.0,173.8
3.132,-15,4,0.0,5.142,8.55,55.53,0.0,0.4894,0.8457,101500.0,3347000.0,1745000.0,-13760.0,3.965,0.3729,-0.03933,5.402,14.22,585.2,72.44
3.24,-15,4,0.0,5.152,8.603,31.57,0.0,0.4864,0.8476,100800.0,3420000.0,1736000.0,-13990.0,3.948,0.3687,-0.05273,5.39,3.32,1480.0,188.1
3.348,-15,4,0.0,5.161,8.663,34.19,0.0,0.4847,0.8505,100200.0,3463000.0,1741000.0,-14620.0,3.929,0.3467,-0.06976,5.144,12.9,1709.0,97.32
