Time,YawAngle,WindSpeed,BldPitch1,RotSpeed,RtTSR,RotTorq,GenPwr,RtAeroCp,RtAeroCt,RtAeroFxh,B1RootMxr,B1RootMyr,B1RootMzr,RtVAvgxh,RtVAvgyh,RtVAvgzh,RtSkew,YawBrMzp,TwrBsMyt,TwrBsMxt
0.0,0,4,0.0,4.85,8.068,-6.852e-17,0.0,0.4885,0.8192,98100.0,200.3,278900.0,561.9,3.963,-0.04286,0.3461,5.03,-2.546e-17,-809.9,-0.132
0.0915,0,4,0.0,4.855,8.907,22.97,0.0,0.4462,0.8406,82770.0,51660.0,498300.0,-2360.0,3.593,-0.01796,0.3506,5.58,-45.26,917.1,6.429
0.183,0,4,0.0,4.854,9.526,28.39,0.0,0.4154,0.8535,73480.0,178700.0,683200.0,-1681.0,3.36,0.01857,0.3437,5.85,-51.86,2017.0,-29.8
0.2745,0,4,0.0,4.853,9.854,-15.38,0.0,0.4091,0.8608,69230.0,320400.0,1086000.0,-3599.0,3.247,0.05732,0.3414,6.085,-33.56,286.9,-75.51
0.366,0,4,0.0,4.859,9.796,-13.97,0.0,0.408,0.8612,70260.0,541200.0,1473000.0,-3630.0,3.27,0.08524,0.3427,6.165,-25.01,-619.5,-5.095
0.4575,0,4,0.0,4.865,9.545,50.37,0.0,0.4263,0.8636,74490.0,840400.0,1871000.0,-4688.0,3.362,0.1051,0.3377,6.005,31.98,1330.0,-97.35
0.549,0,4,0.0,4.871,9.11,84.98,0.0,0.4433,0.8572,81390.0,1101000.0,2046000.0,-4478.0,3.527,0.1098,0.3283,5.606,61.12,2564.0,-421.9
0.6405,0,4,0.0,4.884,8.703,83.35,0.0,0.4669,0.8469,88450.0,1300000.0,2062000.0,-6485.0,3.699,0.1009,0.3194,5.174,66.65,2073.0,-420.1
0.732,0,4,0.0,4.897,8.346,69.16,0.0,0.4848,0.8335,95210.0,1449000.0,2107000.0,-6298.0,3.869,0.08949,0.3114,4.787,63.96,3267.0,-129.0
0.8235,0,4,0.0,4.907,8.131,58.64,0.0,0.5043,0.828,100200.0,1527000.0,2124000.0,-5944.0,3.982,0.08389,0.3041,4.529,36.09,6351.0,-121.7
0.915,0,4,0.0,4.918,8.016,45.83,0.0,0.5163,0.8283,103500.0,1578000.0,2068000.0,-4794.0,4.047,0.08815,0.2934,4.329,78.4,7937.0,-246.1
1.0065,0,4,0.0,4.928,7.992,53.31,0.0,0.5198,0.8281,104500.0,1625000.0,1902000.0,-5552.0,4.066,0.1086,0.2882,4.331,56.98,8290.0,-37.84
1.098,0,4,0.0,4.939,8.039,67.47,0.0,0.5164,0.8291,103900.0,1697000.0,1797000.0,-5634.0,4.052,0.141,0.2897,4.546,4.605,10610.0,213.0
1.1895,0,4,0.0,4.95,8.151,74.07,0.0,0.5095,0.8317,101800.0,1850000.0,1707000.0,-5782.0,4.006,0.1751,0.2856,4.781,-0.7458,13660.0,116.3
1.281,0,4,0.0,4.96,8.3,66.74,0.0,0.5023,0.8388,99430.0,2035000.0,1652000.0,-6466.0,3.941,0.2057,0.2804,5.043,-4.395,14510.0,20.07
