time_start,time_end,n_samples,GenPwr_mean,GenPwr_std,GenPwr_max,GenPwr_min,RtAeroFxh_mean,RtAeroFxh_std,RtAeroFxh_max,RtAeroFxh_min,B1RootMyr_mean,B1RootMyr_std,B1RootMyr_max,B1RootMyr_min,YawAngle,WindSpeed
42.0,60.0,12001,1860.3849128489292,1217.6935392268883,3350.0,0.0,503950.77076910256,110329.34327706012,606800.0,236100.0,7089922.173152237,2090829.540782595,9921000.0,3197000.0,-30,12
42.0,60.0,12001,1650.293925822848,1189.3676773419713,3234.0,0.0,463342.84642946423,113072.11421933553,585400.0,213000.0,6828818.181818182,1416610.6796762084,9140000.0,3005000.0,30,12
