time_start,time_end,n_samples,Time_mean,Time_std,Time_max,Time_min,BldPitch1_mean,BldPitch1_std,BldPitch1_max,BldPitch1_min,RotSpeed_mean,RotSpeed_std,RotSpeed_max,RotSpeed_min,RtTSR_mean,RtTSR_std,RtTSR_max,RtTSR_min,RotTorq_mean,RotTorq_std,RotTorq_max,RotTorq_min,GenPwr_mean,GenPwr_std,GenPwr_max,GenPwr_min,RtAeroCp_mean,RtAeroCp_std,RtAeroCp_max,RtAeroCp_min,RtAeroCt_mean,RtAeroCt_std,RtAeroCt_max,RtAeroCt_min,RtAeroFxh_mean,RtAeroFxh_std,RtAeroFxh_max,RtAeroFxh_min,B1RootMxr_mean,B1RootMxr_std,B1RootMxr_max,B1RootMxr_min,B1RootMyr_mean,B1RootMyr_std,B1RootMyr_max,B1RootMyr_min,B1RootMzr_mean,B1RootMzr_std,B1RootMzr_max,B1RootMzr_min,RtVAvgxh_mean,RtVAvgxh_std,RtVAvgxh_max,RtVAvgxh_min,RtVAvgyh_mean,RtVAvgyh_std,RtVAvgyh_max,RtVAvgyh_min,RtVAvgzh_mean,RtVAvgzh_std,RtVAvgzh_max,RtVAvgzh_min,RtSkew_mean,RtSkew_std,RtSkew_max,RtSkew_min,YawBrMzp_mean,YawBrMzp_std,YawBrMzp_max,YawBrMzp_min,TwrBsMyt_mean,TwrBsMyt_std,TwrBsMyt_max,TwrBsMyt_min,TwrBsMxt_mean,TwrBsMxt_std,TwrBsMxt_max,TwrBsMxt_min,YawAngle,WindSpeed
49.0005,70.0005,14001,59.500499999999995,6.062827341678137,70.0005,49.0005,0.0,0.0,0.0,0.0,8.402812013427612,0.0073957189322192375,8.43,8.394,8.139825155346047,0.06253251952857809,8.294,8.06,1358.6629526462395,9.51526020039708,1391.0,1340.0,1129.2979072923363,7.381407282991863,1155.0,1122.0,0.49381191343475467,0.004465403299967819,0.5019,0.4873,0.8186698021569888,0.008437038716922857,0.8332,0.8073,289627.369473609,1923.7562218912728,292100.0,283900.0,366862.4954871081,2522900.638313909,4137000.0,-3222000.0,4478867.8665809585,634568.3844468708,5499000.0,3718000.0,-5627.504765445326,17952.598370304997,17180.0,-37220.0,6.8086537390186415,0.05180807116295638,6.873,6.689,0.017728669194343204,2.877856810253797,4.004,-4.164,0.0779598348546534,2.8265726797534776,3.985,-4.068,30.646031712020566,0.3962177721837675,31.73,29.99,1081.1419684308264,155.23008401341107,1366.0,855.5,22522.671952003428,429.7901765708758,23370.0,21720.0,14079.497893007643,787.4091317273983,15660.0,12650.0,-30,8
45.501,65.001,13001,55.251,5.629814639488594,65.001,45.501,0.0,0.0,0.0,0.0,8.723796784862703,0.003485939952782187,8.732,8.718,7.785034074301977,0.05222867610885162,7.917,7.724,1650.2252903622798,6.805727929918074,1674.0,1635.0,1423.3206676409507,3.384127391274681,1435.0,1419.0,0.4884526728713176,0.003910991312636388,0.4955,0.4833,0.7983810168448581,0.006205071219806428,0.8098,0.7904,332697.9693869702,2249.0939439252056,335100.0,325800.0,717012.043527421,2459387.3200305537,4294000.0,-3051000.0,5073487.039458503,539834.333709187,5840000.0,4243000.0,-4366.671032074456,20750.766840404158,25430.0,-39180.0,7.39006337974002,0.04937064822114945,7.447,7.266,0.006596175894162012,2.03346028132362,2.788,-2.925,-0.15433547340204598,1.933124579952131,2.751,-2.846,20.813968156295672,0.3911044698932806,21.75,20.25,768.92182909007,107.7661499961498,964.3,593.1,28297.086377970925,151.3160299601048,28700.0,27980.0,11888.200138450888,279.3730457842174,12440.0,11330.0,-20,8
45.501,65.001,13001,55.251,5.629814639488594,65.001,45.501,0.0,0.0,0.0,0.0,8.845193831243751,0.002502207414168513,8.85,8.84,7.678419813860472,0.04968609359379671,7.807,7.621,1760.4556572571341,5.331046126293725,1775.0,1748.0,1539.3165910314592,1.784137613580826,1544.0,1536.0,0.4869085685716484,0.0037084011219964816,0.4933,0.4821,0.7919210368433197,0.005469184135635611,0.8021,0.7849,348661.3722021383,2431.008671944692,351100.0,341300.0,696927.8903238212,2466560.917499878,4211000.0,-2969000.0,5265031.61295285,485103.89688166237,5919000.0,4451000.0,-2750.2166071994466,22081.846168685614,28940.0,-37750.0,7.596463810476117,0.0488288669529608,7.653,7.472,-0.0077509067379432145,1.5699830227738223,2.166,-2.273,-0.09184324368125525,1.5054398768411348,2.188,-2.196,15.98678255518806,0.37986077553630104,16.91,15.46,583.7674640412276,94.87801569030614,754.7,454.8,30610.534574263518,123.33637080042708,30850.0,30380.0,10004.337127913237,505.89314570815174,10980.0,9137.0,-15,8
42.0,60.0,12001,51.0,5.196801937249498,60.0,42.0,0.0,0.0,0.0,0.0,8.936834763769685,0.0033319580899137963,8.947,8.931,7.610862594783768,0.04875778947921904,7.735,7.553,1843.5099575035413,5.513038031780682,1860.0,1832.0,1628.8306807766019,2.534231365030338,1637.0,1625.0,0.48626547787684354,0.0036733648004290283,0.4924,0.4813,0.787591392383968,0.004955193074217405,0.7967,0.781,360214.7237730189,2611.173878885828,362900.0,352500.0,245554.3249179235,2391619.3055242137,4133000.0,-2921000.0,5358815.932005666,417322.2735881905,5950000.0,4610000.0,2884.944423048079,22477.39911231611,32140.0,-35790.0,7.74289684192984,0.049041608431267966,7.801,7.62,-0.10126506091992342,1.1040461007249145,1.518,-1.612,0.11796029420881593,1.0838643349538613,1.635,-1.565,11.348508457628531,0.3816572744177167,12.22,10.62,384.50748270977425,90.90312966195276,551.1,254.1,32406.160319973336,99.03386102085211,32570.0,32190.0,7724.1589034247145,744.7322347646832,8917.0,6475.0,-10,8
42.0,60.0,12001,51.0,5.196801937249498,60.0,42.0,0.0,0.0,0.0,0.0,9.005287392717275,0.003755171794983965,9.016,8.999,7.581095742021499,0.04799737405353308,7.706,7.524,1892.869010915757,4.915249104907946,1904.0,1882.0,1685.2761436546955,1.739033733819338,1690.0,1682.0,0.48599194233813847,0.003652916766367394,0.492,0.481,0.7848207982668112,0.004518052205252196,0.7932,0.7787,367267.294392134,2730.1702182725962,370200.0,359300.0,274332.7969835847,2360733.2134527173,4126000.0,-2872000.0,5470242.47979335,378778.26543416776,5951000.0,4723000.0,3703.900170235813,23296.90178547659,35150.0,-36010.0,7.832444129655863,0.04876238713473572,7.89,7.71,-0.07446981107407714,0.7017888308272815,0.979,-1.043,0.05822367647446043,0.7034420372789705,1.06,-0.9684,7.25638821764853,0.29461222342456206,7.855,6.717,180.36807932672275,94.02642489066095,327.9,39.01,33600.79076743605,97.62675334192798,33800.0,33340.0,5139.661611532372,867.756056293301,6535.0,3735.0,-5,8
38.5005,55.0005,11001,46.750499999999995,4.7637892349473265,55.0005,38.5005,0.0,0.0,0.0,0.0,9.040995909462774,0.002662343737212565,9.047,9.036,7.581918552858832,0.047128768499777485,7.704,7.526,1908.1645304972276,4.2860683382328055,1917.0,1898.0,1705.2987001181712,0.9862910971591847,1707.0,1704.0,0.4865347604763204,0.003803631131071961,0.4928,0.4815,0.7837042632487956,0.00425260572583697,0.7915,0.778,369546.8957367512,2734.575527795703,372500.0,361400.0,877347.3411079901,2411948.447029824,4073000.0,-2813000.0,5582888.282883374,328993.38369965786,5923000.0,4785000.0,-1326.1517191709838,24955.68611349297,36690.0,-35380.0,7.862448686483048,0.0480256345218797,7.921,7.739,0.05264824699754566,0.5062722031328927,0.7293,-0.7266,0.0748006377356604,0.5047289881731407,0.717,-0.7033,5.23702790655395,0.04319076756636324,5.326,5.165,-20.930110277247522,100.57112168630168,114.9,-163.1,34128.82101627125,93.74084613785013,34330.0,33840.0,2463.20207253886,795.5800379021775,3716.0,1142.0,0,8
42.0,60.0,12001,51.0,5.196801937249498,60.0,42.0,0.0,0.0,0.0,0.0,9.015979085076243,0.0029924035817678837,9.024,9.01,7.589761853178902,0.04814097819286048,7.714,7.533,1897.466044496292,4.070077938772864,1910.0,1887.0,1691.3030580784935,1.3997850361310733,1695.0,1689.0,0.48774347971002413,0.0039089074804360595,0.4942,0.4827,0.7829818515123741,0.004014940506609738,0.7903,0.7777,366404.35797016916,2894.2587145093257,369700.0,358200.0,286151.26219481707,2311937.263013599,4084000.0,-2861000.0,5488498.625114574,345971.51523250475,5884000.0,4772000.0,4702.461827514374,24422.97347619095,38960.0,-35660.0,7.832570369135905,0.04854046664319152,7.89,7.711,-0.05968204308474295,0.7092464981222185,1.039,-0.9682,-0.07045451633197233,0.6986129056550374,1.06,-0.9789,7.268658361803182,0.2703025038858321,7.813,6.793,-237.18260644946255,109.95692209666707,-61.81,-388.4,33923.49137571869,94.94099542934931,34130.0,33640.0,-406.1546660811599,466.26437219699545,487.6,-1152.0,5,8
42.0,60.0,12001,51.0,5.196801937249498,60.0,42.0,0.0,0.0,0.0,0.0,8.947378135155404,0.0035677259641681337,8.957,8.94,7.619366719440046,0.04865968477407128,7.746,7.56,1853.0945754520458,4.656855670781869,1874.0,1843.0,1639.222398133489,2.625347903639286,1647.0,1635.0,0.48919675027081083,0.003947518136548648,0.4955,0.4837,0.7830644029664194,0.00366865339676627,0.79,0.778,358124.60628280975,3057.988769391321,362200.0,349800.0,261063.71830680777,2290027.0418126225,4018000.0,-2792000.0,5389893.175568703,358803.80932703294,5844000.0,4710000.0,4969.221735938672,24706.317861065952,40060.0,-34840.0,7.742947921006583,0.04823053705090941,7.807,7.622,-0.03973743994425459,1.127641992962636,1.626,-1.52,-0.1476438164044663,1.061779706847294,1.598,-1.579,11.35900424964586,0.3492128291819578,12.12,10.72,-433.9124572952254,124.15812950549335,-234.7,-623.3,32988.83509707524,184.80429167480096,33450.0,32550.0,-3120.8941754853763,846.7607068313766,-1687.0,-4428.0,10,8
45.501,65.001,13001,55.251,5.629814639488594,65.001,45.501,0.0,0.0,0.0,0.0,8.860568956234136,0.003721439245322023,8.868,8.853,7.691551803707406,0.049274353885006075,7.816,7.631,1774.2770556111068,4.364084587144241,1785.0,1762.0,1554.1691408353204,2.53494134817787,1560.0,1550.0,0.49139754634258903,0.003964528604515991,0.4976,0.4859,0.7854541419890778,0.003288075652483196,0.7916,0.7809,345752.97284824244,3161.214805436192,349600.0,337400.0,682135.7785170372,2334692.944112296,3962000.0,-2769000.0,5198517.960156911,369988.0794396069,5783000.0,4600000.0,-1.4335840319975799,24880.554571212364,40360.0,-34170.0,7.596098069379279,0.04752249342844956,7.656,7.477,0.0631213120836859,1.537861670655831,2.265,-2.179,0.06095202562879781,1.539881292411215,2.159,-2.215,15.993772786708716,0.35983571516542945,16.91,15.37,-618.8236212599031,142.04582645587197,-388.8,-832.7,31484.288900853782,316.0889664061733,32140.0,30810.0,-5631.044381201446,1184.2726393280072,-3771.0,-7572.0,15,8
45.501,65.001,13001,55.251,5.629814639488594,65.001,45.501,0.0,0.0,0.0,0.0,8.744120375355742,0.004554782884028376,8.759,8.735,7.8034903468963925,0.05317047838975217,7.932,7.737,1668.484808860857,5.499896850431341,1684.0,1656.0,1442.6390277670948,4.00356530829294,1457.0,1436.0,0.49474480424582723,0.004280445982576399,0.5013,0.4884,0.7899241673717405,0.003095603664402463,0.7958,0.7855,329075.1711406815,3401.63586488135,333700.0,320800.0,697538.4366048765,2292449.651102245,3933000.0,-2789000.0,4971635.028074764,411245.1096934605,5682000.0,4431000.0,-984.5888913160526,24347.84875405992,41010.0,-34210.0,7.389202984385817,0.049167983113001267,7.451,7.272,0.07759747830166916,2.004082190950555,2.89,-2.828,0.12914206747942467,1.961658737615799,2.77,-2.85,20.80533112837474,0.35951148473067673,21.78,20.21,-789.4013229751557,162.61111585082264,-499.0,-1030.0,29387.35558803169,465.07364885049503,30350.0,28440.0,-7863.503115144988,1087.98462489574,-6030.0,-9528.0,20,8
49.0005,70.0005,14001,59.500499999999995,6.062827341678137,70.0005,49.0005,0.0,0.0,0.0,0.0,8.432597885865295,0.007586784079764982,8.456,8.423,8.167677665881008,0.06813358743051427,8.324,8.079,1385.6696664523963,9.171933926551375,1427.0,1373.0,1155.7303764016856,7.1114855335574045,1178.0,1149.0,0.5050580601385616,0.005883739171366189,0.5135,0.4954,0.8061477108777944,0.0030057678972939083,0.8119,0.8012,285254.07470894937,4020.505920881987,290800.0,277300.0,398814.6108420827,2296273.7811953784,3758000.0,-2857000.0,4449463.752589101,532934.9516628559,5352000.0,3789000.0,-134.39344132561936,23889.75305185536,37030.0,-33010.0,6.809238197271624,0.05558549053491322,6.882,6.697,-0.041828459781444206,2.8575362521282006,4.143,-4.015,-0.05103072186058138,2.8479945673223344,4.0,-4.067,30.64629883579744,0.33892167296452447,31.62,30.21,-1095.3081208485107,210.44480082615812,-768.8,-1400.0,23856.559531462037,701.3992735255613,25170.0,22580.0,-10893.88186558103,390.63275780691384,-10130.0,-11640.0,30,8
49.0005,70.0005,14001,59.500499999999995,6.062827341678137,70.0005,49.0005,0.0,0.0,0.0,0.0,7.069936004571102,0.004522220220325208,7.083,7.064,13.687858724376829,0.11189874394699713,13.96,13.55,147.9424255410328,5.35376996162911,171.9,142.5,103.65388900792802,3.3512666128273483,114.2,100.1,0.3541292764802514,0.005103012342659951,0.3638,0.3442,1.0405756731662024,0.008877314886352563,1.056,1.028,92151.66488107992,814.5550973043029,93100.0,89890.0,-66922.37695878868,2430543.5821396275,3600000.0,-3563000.0,1861863.5097493036,337845.0302143118,2414000.0,1400000.0,-15165.831440611384,6938.856069576612,-6156.0,-29280.0,3.406569102206985,0.02775570133660379,3.441,3.344,-0.25649696220984214,1.4102625457104008,2.004,-2.089,0.02855532931719157,1.4157073835548049,2.008,-2.026,30.598337975858865,0.47707605149180465,31.87,29.46,719.5715306049568,66.95459682933284,889.8,579.3,6360.513106206699,337.77984607951396,7229.0,5483.0,3798.5053210484966,468.4163120751806,4739.0,2832.0,-30,4
45.501,65.001,13001,55.251,5.629814639488594,65.001,45.501,0.0,0.0,0.0,0.0,7.120189600799938,0.0025265000727388684,7.127,7.115,12.708245519575417,0.10151933514266634,12.94,12.57,193.51125298053995,3.1790983686591883,206.4,187.8,136.4114837320206,1.642469891512163,142.6,134.0,0.37107487116375665,0.0028268873941438392,0.3766,0.3644,1.0066615414198907,0.007267535349388574,1.019,0.9964,104905.49957695561,968.9406102403358,106100.0,102300.0,168689.7852572879,2365238.89658892,3595000.0,-3428000.0,2046865.0103838167,225281.57971973068,2407000.0,1735000.0,-14633.663564341205,7894.152332271664,-4413.0,-28030.0,3.695325513422044,0.029475038236026648,3.735,3.63,0.16058606044688867,1.0088487192807851,1.404,-1.446,-0.005278914929620798,0.9615461495914348,1.396,-1.452,20.7842619798477,0.43010035892323173,22.05,20.0,475.4023767402508,49.66680997991962,588.7,383.3,8078.047073302054,342.3729304081177,8741.0,7349.0,3081.742635181909,916.0940782582252,4572.0,1500.0,-20,4
45.501,65.001,13001,55.251,5.629814639488594,65.001,45.501,0.0,0.0,0.0,0.0,7.140477578647796,0.0021941831172413617,7.144,7.136,12.397980924544266,0.09491603547317583,12.62,12.27,211.8538420121529,2.1697633793625175,218.0,206.5,149.66254903468965,0.9765896360841164,152.5,147.7,0.3774670640719945,0.002068001205840032,0.3821,0.3713,0.9955498577032537,0.006685433777059157,1.007,0.9862,109626.81332205216,985.4305141148648,110900.0,106900.0,181915.40367664024,2363527.746160365,3646000.0,-3430000.0,2108190.6776401815,170824.9901350076,2396000.0,1874000.0,-13932.170525344205,8417.127656533452,-2448.0,-28750.0,3.798578955464964,0.028951063753826452,3.837,3.732,0.12536598891931391,0.7802627146232435,1.087,-1.144,0.004287575809553113,0.7443585718802511,1.101,-1.088,15.943973540496886,0.4470748282659947,16.98,15.22,353.20778401661414,48.58626327887765,480.2,265.4,8766.69002384432,301.5225475426718,9459.0,8032.0,2505.373986616414,1042.2790625341663,4111.0,901.0,-15,4
42.0,60.0,12001,51.0,5.196801937249498,60.0,42.0,0.0,0.0,0.0,0.0,7.156379051745687,0.0019140422672290504,7.16,7.153,12.191764852928921,0.09045322014489236,12.39,12.07,226.27753520539957,2.5518572238563553,235.7,216.8,160.16996916923588,0.7697920113355466,161.5,158.8,0.38250083326389467,0.0017660283044957197,0.3868,0.3782,0.9881559453378884,0.006235010814613322,0.9982,0.9793,113027.14773768853,997.6219752934451,114200.0,110400.0,14634.596258645097,2357499.4608770055,3515000.0,-3362000.0,2138567.619365053,119989.07984232181,2348000.0,1991000.0,-12606.238813432214,8805.13744804495,-1418.0,-27190.0,3.8714218815098738,0.028580775901987363,3.909,3.808,-0.05140809476710274,0.5612097550072728,0.764,-0.8126,-0.009447937588534266,0.53115483403425,0.8107,-0.7633,11.306938588450963,0.3620763643832247,12.17,10.51,233.0504707941005,40.18289700423966,319.0,166.6,9298.075743688027,234.15659043842615,9852.0,8801.0,1846.436930255812,888.1140183694744,3274.0,441.0,-10,4
42.0,60.0,12001,51.0,5.196801937249498,60.0,42.0,0.0,0.0,0.0,0.0,7.1666087826014495,0.0013857078309720222,7.169,7.164,12.070244979585036,0.08421642741572488,12.26,11.96,235.51553203899675,1.6289900968577546,238.7,229.2,166.8625531205733,0.78041609480596,168.3,164.7,0.3861374552120656,0.0016689830706694887,0.3903,0.3833,0.9837430547454378,0.005872841756857277,0.9931,0.9752,115126.16448629281,954.6083119664212,116200.0,112600.0,16316.945979501692,2351885.834154708,3616000.0,-3501000.0,2166994.500458295,73900.7925290341,2301000.0,2015000.0,-12176.351039021747,9214.799429562248,697.2,-28050.0,3.91593425547871,0.027200252951600855,3.952,3.855,-0.029875841479876677,0.3537973806933586,0.4907,-0.5361,-0.0158313274310474,0.34215318236339987,0.5473,-0.503,7.170907341054912,0.37403200542235626,8.013,6.357,110.31480093325555,48.45778637490704,221.1,8.402,9633.46471127406,81.61131524142607,9799.0,9480.0,1098.8819431714026,495.3014550215099,1931.0,317.3,-5,4
