time_start,time_end,n_samples,Time_mean,Time_std,Time_max,Time_min,BldPitch1_mean,BldPitch1_std,BldPitch1_max,BldPitch1_min,RotSpeed_mean,RotSpeed_std,RotSpeed_max,RotSpeed_min,RtTSR_mean,RtTSR_std,RtTSR_max,RtTSR_min,RotTorq_mean,RotTorq_std,RotTorq_max,RotTorq_min,GenPwr_mean,GenPwr_std,GenPwr_max,GenPwr_min,RtAeroCp_mean,RtAeroCp_std,RtAeroCp_max,RtAeroCp_min,RtAeroCt_mean,RtAeroCt_std,RtAeroCt_max,RtAeroCt_min,RtAeroFxh_mean,RtAeroFxh_std,RtAeroFxh_max,RtAeroFxh_min,B1RootMxr_mean,B1RootMxr_std,B1RootMxr_max,B1RootMxr_min,B1RootMyr_mean,B1RootMyr_std,B1RootMyr_max,B1RootMyr_min,B1RootMzr_mean,B1RootMzr_std,B1RootMzr_max,B1RootMzr_min,RtVAvgxh_mean,RtVAvgxh_std,RtVAvgxh_max,RtVAvgxh_min,RtVAvgyh_mean,RtVAvgyh_std,RtVAvgyh_max,RtVAvgyh_min,RtVAvgzh_mean,RtVAvgzh_std,RtVAvgzh_max,RtVAvgzh_min,RtSkew_mean,RtSkew_std,RtSkew_max,RtSkew_min,YawBrMzp_mean,YawBrMzp_std,YawBrMzp_max,YawBrMzp_min,TwrBsMyt_mean,TwrBsMyt_std,TwrBsMyt_max,TwrBsMyt_min,TwrBsMxt_mean,TwrBsMxt_std,TwrBsMxt_max,TwrBsMxt_min,YawAngle,WindSpeed
49.0005,70.0005,14001,59.500499999999995,6.062827341678137,70.0005,49.0005,0.0,0.0,0.0,0.0,7.056007142346974,0.0029913122510425148,7.064,7.051,13.658819370044997,0.10533361428841027,13.9,13.53,135.28007285193914,4.157442554587174,156.6,128.1,94.44118634383258,1.8259461108232424,100.2,91.99,0.32636113849010784,0.002224993827478879,0.3312,0.3213,1.0334282551246339,0.006658969151628085,1.044,1.025,91539.83786872367,856.9478952305928,92470.0,89150.0,-67243.61285622459,2394015.3759431825,3574000.0,-3490000.0,1856282.8369402185,47192.97463282079,1920000.0,1712000.0,-13962.574744661095,8605.690546277403,-1317.0,-28250.0,3.4070052853367616,0.02620879842572685,3.438,3.347,0.23867403779730018,1.4128337541147336,2.128,-2.035,-0.09944941945575314,1.4157320342542092,2.035,-2.045,30.618406542389828,0.43629372068765765,32.25,29.19,36.33922708485109,41.21238677136473,129.6,-64.06,6692.697235911721,549.8635814962936,7590.0,5781.0,-3423.075494607528,891.2859301995003,-1969.0,-4816.0,30,4
49.0005,70.0005,14001,59.500499999999995,6.062827341678137,70.0005,49.0005,0.0,0.0,0.0,0.0,7.558886150989216,0.005432011760170093,7.578,7.553,9.760998142989786,0.07496213136916838,9.933,9.665,592.1102421255624,6.08582727842332,621.0,585.4,442.85266766659527,4.6910664555291435,458.9,438.9,0.4568900507106636,0.0032104256956715627,0.4621,0.4523,0.8969131704878223,0.006951806195730976,0.9088,0.8874,178580.8942218413,1420.1151664651234,180200.0,174500.0,-160391.12983215484,2340757.348197214,3705000.0,-3305000.0,3000205.556745947,246051.61369222656,3322000.0,2523000.0,-6612.243469966431,13225.656323165194,10670.0,-30340.0,5.107655881722735,0.038502265274860614,5.158,5.02,-0.15130869452324838,2.1642969256848885,3.013,-3.111,0.2895655541318477,2.0886574318982327,3.005,-3.079,30.635668880794228,0.41832946354103945,31.84,29.67,11.86720013999,42.04528058568151,124.5,-92.72,13741.894864652524,225.93147337201802,14440.0,13150.0,8498.351189200772,160.65776140663982,8936.0,8199.0,-30,6
45.501,65.001,13001,55.251,5.629814639488594,65.001,45.501,0.0,0.0,0.0,0.0,7.742025459580033,0.002889777378689298,7.75,7.738,9.21133428197831,0.06430915188520235,9.371,9.132,758.4032612875933,3.5984518222467234,774.3,752.9,580.5784478117068,2.3666042059139096,587.8,578.0,0.47100393046688716,0.00340543648115252,0.4766,0.4663,0.8727459503115146,0.00589233954635439,0.8832,0.865,204699.4308130144,1571.2057052814703,206600.0,200000.0,651499.6599338512,2376373.9653153596,3733000.0,-3198000.0,3383790.477655565,263123.96891976165,3700000.0,2820000.0,-9635.904562110605,14919.415763522742,13990.0,-30130.0,5.5435663410506875,0.03844739366063287,5.593,5.45,0.14397112099069304,1.4806131000935112,2.084,-2.177,-0.22336069030382283,1.4714774543611777,2.087,-2.14,20.78154526574879,0.4056234380660808,21.88,20.08,26.655954823205903,44.85821720996148,138.9,-85.51,17199.026997923236,176.62350037987503,17660.0,16670.0,7121.793477424813,263.4351075380924,7642.0,6571.0,-20,6
45.501,65.001,13001,55.251,5.629814639488594,65.001,45.501,0.0,0.0,0.0,0.0,7.812296592569803,0.0016883842765937544,7.816,7.809,9.04341912160603,0.06179548228842597,9.196,8.968,822.1209137758634,2.3090434840217364,830.5,817.7,634.9488039381587,1.0546995161305628,637.5,633.3,0.4752789323898161,0.0034857313500521103,0.4811,0.4705,0.8648293131297592,0.005554251446942758,0.8745,0.8575,214280.5630336128,1642.8080621675333,216200.0,209500.0,679495.041004538,2364705.024363589,3710000.0,-3217000.0,3504981.2322129067,269798.6456344896,3830000.0,2934000.0,-9124.417105761097,15354.951636455282,15320.0,-30620.0,5.697715175755711,0.03865214920467223,5.747,5.605,0.1050286346281055,1.1485339178439382,1.628,-1.692,-0.17385556368740862,1.1365968496229575,1.636,-1.659,15.94625336512576,0.38851803258964224,16.78,15.27,28.50523592931313,44.33127312024744,126.1,-51.56,18588.60164602723,111.36605542940727,18800.0,18260.0,5947.057072532882,258.84874134583174,6475.0,5428.0,-15,6
42.0,60.0,12001,51.0,5.196801937249498,60.0,42.0,0.0,0.0,0.0,0.0,7.865652112323973,0.0015511976274421382,7.87,7.863,8.933349304224649,0.060675115517463594,9.078,8.859,870.5626447796016,2.703539094944142,880.1,862.9,677.065877843513,1.0816321377482976,681.0,675.4,0.478365411215732,0.0035709745658065936,0.4843,0.4734,0.8591650612448963,0.0052328752467770915,0.8682,0.852,221146.13782184818,1740.410954536349,223100.0,216400.0,-94870.43688025998,2425817.8726788084,3752000.0,-3256000.0,3550464.2113157236,274067.737198728,3911000.0,3019000.0,-3733.47837748521,15986.971560230942,16840.0,-30250.0,5.807327472710607,0.03913308599323556,5.857,5.716,-0.11754519575035415,0.823941438482752,1.125,-1.221,0.08065317739355055,0.8085434460894095,1.223,-1.171,11.319671694025498,0.3755739947594112,12.12,10.61,29.41458381326556,47.41390104479599,119.0,-63.99,19653.48554287143,93.10267617961885,19960.0,19400.0,4531.206232813932,217.57458770380876,4998.0,4090.0,-10,6
42.0,60.0,12001,51.0,5.196801937249498,60.0,42.0,0.0,0.0,0.0,0.0,7.89871977335222,0.0013346846626175525,7.901,7.896,8.86857420214982,0.05910282295357907,9.007,8.797,900.5244896258644,1.9756634433982185,905.2,895.8,703.2339471710692,0.621307084735246,704.7,702.2,0.4804334638780102,0.003702686422344738,0.4866,0.4752,0.8553094492125656,0.005008301845097647,0.8637,0.8484,225257.7618531789,1765.1331272592952,227100.0,220500.0,-96528.29123989664,2426564.8204646436,3792000.0,-3165000.0,3606678.610115824,268394.8762860449,3955000.0,3075000.0,-3385.8933703024745,16260.022553507426,17570.0,-30690.0,5.874258978418464,0.03884447954672899,5.922,5.785,-0.08822743252728939,0.530749653967646,0.732,-0.7651,0.02880934919423381,0.5125115781162137,0.7987,-0.7519,7.207908757603533,0.3166680432105479,7.907,6.589,25.472928157486876,52.46556748756108,128.0,-74.55,20329.443379718356,65.46200028548232,20460.0,20170.0,2939.5127906007833,158.95900265127074,3307.0,2579.0,-5,6
38.5005,55.0005,11001,46.750499999999995,4.7637892349473265,55.0005,38.5005,0.0,0.0,0.0,0.0,7.911078538314698,0.0012833246204541845,7.913,7.909,8.849483319698209,0.05888136700886893,8.985,8.777,911.706744841378,1.523772219101776,914.5,908.6,713.0582583401509,0.576646435694979,714.2,712.0,0.4818107172075266,0.003800929389232341,0.488,0.4765,0.8534869375511318,0.004869214356323533,0.8613,0.8466,226453.89510044543,1802.866797755618,228400.0,221600.0,476964.937042087,2411119.963046199,3720000.0,-3132000.0,3667895.2822470684,254707.81609257797,3952000.0,3109000.0,-6798.817571757112,16336.172496983469,17440.0,-29640.0,5.896147986546678,0.03894076746442433,5.944,5.807,0.026271761338060192,0.37274663216934106,0.5319,-0.5332,0.029941927520952632,0.3763006719157233,0.5316,-0.5228,5.14739896373057,0.02215722732117884,5.193,5.091,17.689419747295698,53.63353600457483,103.7,-53.78,20589.342787019363,84.11461247507432,20740.0,20390.0,1230.7024270520863,206.69697326921386,1629.0,820.6,0,6
42.0,60.0,12001,51.0,5.196801937249498,60.0,42.0,0.0,0.0,0.0,0.0,7.902228397633531,0.002328571845690331,7.907,7.898,8.872626781101575,0.059284474747155085,9.01,8.8,903.7881176568619,2.1652037159327007,909.3,898.3,705.9956086992751,1.0960785623626454,708.3,704.0,0.48241444879593365,0.004040461757633505,0.4893,0.4766,0.8533094492125656,0.004856362394317544,0.8611,0.8465,224724.44796266977,1803.12984760184,226600.0,219900.0,-101084.90900424965,2426757.9238801124,3721000.0,-3216000.0,3602925.2562286477,244837.15437593035,3906000.0,3100000.0,-3380.7290509957497,16333.637693611712,18380.0,-29800.0,5.874187567702691,0.03897925814359617,5.922,5.785,-0.035402765323723,0.5128237177566675,0.7807,-0.7219,-0.08644955849679195,0.5285440793382945,0.8219,-0.7386,7.194155903674694,0.3298109647086015,8.012,6.376,16.208891132322304,59.46491614756186,128.0,-91.39,20430.76243646363,142.4789235016776,20720.0,20050.0,-460.2390160103325,779.2277587960049,702.0,-1679.0,5,6
42.0,60.0,12001,51.0,5.196801937249498,60.0,42.0,0.0,0.0,0.0,0.0,7.872669694192151,0.002994198108810966,7.879,7.867,8.941529705857846,0.0606780188507763,9.08,8.867,876.9681609865845,3.1658440727154895,888.1,868.4,682.471527372719,1.4851414327502572,685.9,679.7,0.4824260144987918,0.004316270750249176,0.4895,0.4761,0.855223489709191,0.004941026447434654,0.863,0.8482,220113.04057995166,1794.0816859245454,222000.0,215300.0,-99338.9554537122,2427050.2726579467,3766000.0,-3192000.0,3543039.3300558287,228331.89137675107,3817000.0,3065000.0,-3787.2395059578366,16133.35866282834,18280.0,-29910.0,5.807097825181235,0.039109769829329746,5.855,5.718,-0.003696828672610617,0.7985691701344882,1.22,-1.145,-0.14379223300558286,0.8329766876219953,1.23,-1.195,11.314576285309558,0.418113727592025,12.39,10.28,11.368528745104577,63.21493974623449,149.4,-91.9,19855.354553787183,261.2727049740746,20360.0,19310.0,-2114.656853595534,1128.8775409176276,-291.2,-3984.0,10,6
45.501,65.001,13001,55.251,5.629814639488594,65.001,45.501,0.0,0.0,0.0,0.0,7.822823475117298,0.002884172663589921,7.829,7.817,9.054789785401121,0.06230797114303823,9.201,8.981,831.731659103146,2.649213368198495,840.3,824.8,643.1142296746405,1.4657580740194838,646.7,640.5,0.4814780016921775,0.004562411545898812,0.4892,0.4752,0.8589850396123374,0.0051038730407150954,0.867,0.8521,212865.5564956542,1748.4071035958023,214700.0,208000.0,683545.6430682256,2359831.389132015,3742000.0,-3174000.0,3477752.9420813783,197650.46117791618,3689000.0,3002000.0,-8816.25009314668,15615.16944554271,16800.0,-30000.0,5.6981656026459495,0.038963474471417965,5.744,5.608,0.027681345218829256,1.1659949043380369,1.718,-1.612,0.20043723085916468,1.12510107300778,1.632,-1.672,15.983873548188603,0.41466154206804084,16.96,15.22,6.675187906084146,63.663683044730696,120.7,-90.61,18913.366664102763,312.22498558574205,19480.0,18300.0,-3642.14437350973,1037.6676828353288,-2082.0,-5349.0,15,6
