YawAngle,WindSpeed,BldPitch1_diff,BldPitch1_pct_diff,RtTSR_diff,RtTSR_pct_diff,GenPwr_diff,GenPwr_pct_diff,RtAeroCp_diff,RtAeroCp_pct_diff,RtAeroCt_diff,RtAeroCt_pct_diff,B1RootMyr_diff,B1RootMyr_pct_diff,RotSpeed_diff,RotSpeed_pct_diff,RotTorq_diff,RotTorq_pct_diff,RtAeroFxh_diff,RtAeroFxh_pct_diff,YawBrMzp_diff,YawBrMzp_pct_diff,TwrBsMyt_diff,TwrBsMyt_pct_diff
-30,4,0.0,,0.03599314334690007,0.2636499981139183,12.14355546032425,13.270146648528128,0.04072549817870147,12.994577920983561,-0.0015843868295122299,-0.1520291258829037,270.40925648156554,0.014525690732844881,0.01869059352903335,0.26506797649907865,16.95414613241914,12.943254319366417,-124.05185343904304,-0.13443607682392253,748.4201254133991,2594.3035713974577,-265.93986143846905,-4.013306405960589
-20,4,0.0,,0.010718406276438941,0.08441333639849315,4.04823475117297,3.058428062428969,0.010890893008230096,3.0237027932229226,-0.0019884085839547705,-0.19713564492291796,-7135.14345050347,-0.3473779413883629,0.006129836166447689,0.08616509235586232,5.545950311514474,2.950518118378442,-198.32320590726158,-0.18869266659975198,489.8957314910392,3380.140346488036,-220.83147450196157,-2.660979712257583
-15,4,0.0,,0.003378201676794035,0.02725542522279805,1.2844396584877984,0.8656530696392656,0.00342187524036619,0.9148293688938488,-0.0018834474271208768,-0.18882941019045793,-8780.093838935718,-0.4147479954482842,0.0019539266210291117,0.027371578722364447,1.746204138143213,0.8310997904751649,-201.34605030382227,-0.183328257028499,361.7319461756865,4243.607048121326,-204.4262749019308,-2.2787161384865806
-10,4,0.0,,-0.0009199233397243489,-0.007544879217371805,-0.5493458878426623,-0.34180452277784107,-0.001006366136155401,-0.26241127617153925,-0.001599608365969618,-0.1616165082361571,348.3876343634911,0.01629335426384243,-0.0008280976585304245,-0.011570122832051288,-0.7545204566285975,-0.3323409350403875,-184.13465544540668,-0.16264691252766353,235.00426098308475,12028.121663629618,-182.1512373968817,-1.921380550912046
-5,4,0.0,,-0.003402216481960707,-0.028178862830023577,-1.5212315640363272,-0.9034311509779057,-0.003156853595533804,-0.8109169654196032,-0.001129180901591642,-0.11465252656348937,2033.247229397297,0.09391610248750835,-0.002284059661696425,-0.03186070306744006,-2.0774435463711427,-0.8743707768518226,-135.52203983002983,-0.11757769985372825,107.33035135230396,3596.319805077151,-160.71777351887613,-1.6409513889333454
0,4,0.0,,-0.004285064994093091,-0.035621408058204865,-1.6755567675665475,-0.9864189195842104,-0.0033470320879919746,-0.853950638695152,-0.00039962730660847434,-0.04067214741037428,-42.81428961036727,-0.001961319367477628,-0.002476320334516835,-0.034529833950208436,-2.2730569948186314,-0.9472679226925278,-44.97772929734492,-0.03879920689026956,-20.018752020416326,-276.4117626546103,-135.57349331878686,-1.3689254463378282
5,4,0.0,,-0.0021131572368968676,-0.017498345212680663,-0.9479043413048771,-0.5602174958566436,-0.0018614865427881155,-0.4755295973361847,0.0005815015415380209,0.05912078282061665,6902.508124323096,0.3191290958229885,-0.0013448879260060664,-0.018756839883873548,-1.3035663694692232,-0.5457830522048811,66.58611782350636,0.05785026503905272,-146.7979127133572,-1109.3162303900751,-101.9760019998339,-1.0397078914710356
10,4,0.0,,0.0015998666777754522,0.013115251295375748,0.5558870094158976,0.34270313104969313,0.0016119323389717222,0.41561734466347156,0.00181517373552198,0.18387133262515826,10293.892175652087,0.4822595121206293,0.000832347304391412,0.011625578353321304,0.7417631864010445,0.32350003790316617,204.87459378385392,0.1814798844232901,-273.9759845249563,-1553.8671235933286,-65.55945337888625,-0.6892482195822045
15,4,0.0,,0.007492500576880445,0.0604161813401034,2.870009999230831,1.9050846813791453,0.00755166525651868,1.9848038957137646,0.003367102530574817,0.33893489227937323,-8719.252365202643,-0.41397515922626993,0.004324590416119989,0.060550255834605236,3.9209599261595542,1.8373549908075433,380.01692177525547,0.3474577934003904,-402.0230158825475,-1970.2929931543943,-33.54480424582289,-0.37086020901151245
20,4,0.0,,0.016231059149298233,0.12775636228441498,6.048173217444798,4.479486936863973,0.016608007076378606,4.502269487187251,0.005336074148142522,0.5319195715384754,-6366.433351280866,-0.3119722723476949,0.009094454272749353,0.12775990935387518,8.30246134912693,4.329920057558782,567.2640566110495,0.5426659016120051,-530.7692808067841,-2119.61999696559,3.716021844473289,0.04433997860314936
